id,asset,tier,name,provider,category,kind,url,homepage,official,auto_fetch,cadence,priority,why,notes
boe_news_rss,GBPJPY,1,Bank of England news RSS,Bank of England,central-bank,rss,https://www.bankofengland.co.uk/rss/news,https://www.bankofengland.co.uk/news,True,True,Ad hoc,10,BoE announcements and policy-related releases are immediate drivers of sterling repricing.,
boe_speeches_rss,GBPJPY,1,Bank of England speeches RSS,Bank of England,central-bank,rss,https://www.bankofengland.co.uk/rss/speeches,https://www.bankofengland.co.uk/speeches,True,True,Ad hoc,15,MPC tone and guidance changes often show up in speeches before the market fully reprices them.,
boe_statistics_rss,GBPJPY,1,Bank of England statistics RSS,Bank of England,statistics,rss,https://www.bankofengland.co.uk/rss/statistics,https://www.bankofengland.co.uk/statistics,True,True,Scheduled and ad hoc,20,Helpful for official releases that matter to rates and liquidity conditions in sterling markets.,
boe_bank_rate,GBPJPY,1,Bank Rate latest decision page,Bank of England,policy-rate,html,https://www.bankofengland.co.uk/monetary-policy/the-interest-rate-bank-rate.%C2%A0,https://www.bankofengland.co.uk/monetary-policy/the-interest-rate-bank-rate.%C2%A0,True,True,Eight times a year plus updates,25,Current Bank Rate and the policy narrative are primary inputs for GBPJPY rate-differential thinking.,
boe_upcoming_mpc_dates,GBPJPY,1,Bank of England MPC dates,Bank of England,calendar,html,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates,True,True,Static with schedule changes,30,Knowing when the next decision is due helps the swarm weight event risk and narrative urgency.,
boe_database,GBPJPY,2,Bank of England database,Bank of England,api-data,html,https://www.bankofengland.co.uk/boeapps/database/,https://www.bankofengland.co.uk/boeapps/database/,True,False,Series-dependent,35,Useful for series-level adapters such as official rates or market expectations.,Discovery source; best used with explicit series selection.
ons_cpi_bulletin,GBPJPY,1,ONS consumer price inflation bulletin,Office for National Statistics,inflation,html,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest,True,True,Monthly,40,UK inflation surprises materially affect BoE pricing and sterling.,
ons_cpi_dataset,GBPJPY,2,ONS CPI dataset page,Office for National Statistics,inflation-data,html,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceindices,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceindices,True,True,Monthly,45,Useful when you want the raw CPI tables behind the bulletin rather than the narrative summary.,
ons_gdp_monthly,GBPJPY,1,ONS GDP monthly estimate,Office for National Statistics,growth,html,https://www.ons.gov.uk/economy/grossdomesticproductgdp/bulletins/gdpmonthlyestimateuk/latest,https://www.ons.gov.uk/economy/grossdomesticproductgdp/bulletins/gdpmonthlyestimateuk/latest,True,True,Monthly,50,Growth data matters for the BoE path and for the relative attractiveness of sterling versus yen.,
ons_labour_market,GBPJPY,1,ONS labour market overview,Office for National Statistics,labor,html,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/february2026,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/february2026,True,True,Monthly,55,Labor-market tightness is a core BoE input and therefore a GBPJPY driver.,
ons_api_hub,GBPJPY,2,ONS developer hub,Office for National Statistics,api,api,https://developer.ons.gov.uk/,https://developer.ons.gov.uk/,True,False,Series-dependent,60,Best source for adding structured UK macro time series once you promote the bridge beyond headline scraping.,
boj_whatsnew_rss_en,GBPJPY,1,Bank of Japan English what's new RSS,Bank of Japan,central-bank,rss,https://www.boj.or.jp/en/rss/whatsnew.xml,https://www.boj.or.jp/en/,True,True,Ad hoc,65,English-language BoJ updates are the easiest official feed for policy-sensitive yen developments.,
boj_whatsnew_rss_ja,GBPJPY,1,Bank of Japan Japanese what's new RSS,Bank of Japan,central-bank,rss,https://www.boj.or.jp/rss/whatsnew.xml,https://www.boj.or.jp/,True,True,Ad hoc,68,Japanese feed can surface updates with less translation lag than the English site.,
boj_monetary_policy_releases,GBPJPY,1,BoJ monetary policy releases 2026 page,Bank of Japan,policy-rate,html,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2026/index.htm,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2026/index.htm,True,True,Per meeting,70,Direct BoJ policy statements are indispensable for yen direction and intervention risk framing.,
boj_fx_daily_rates,GBPJPY,2,BoJ daily foreign exchange rates,Bank of Japan,fx-reference,html,https://www.boj.or.jp/en/statistics/market/forex/fxdaily/index.htm,https://www.boj.or.jp/en/statistics/market/forex/fxdaily/index.htm,True,True,Daily,75,Provides official reference rates and a useful sanity check on recent yen moves.,
statbureau_cpi_schedule,GBPJPY,2,Japan CPI release schedule,Statistics Bureau of Japan,calendar,html,https://www.stat.go.jp/english/data/cpi/1582.htm,https://www.stat.go.jp/english/data/cpi/1582.htm,True,True,Scheduled,80,Event calendar context helps the swarm weight imminent JPY volatility around CPI.,
statbureau_labour_schedule,GBPJPY,2,Japan labour force release schedule,Statistics Bureau of Japan,calendar,html,https://www.stat.go.jp/english/data/roudou/1543.html,https://www.stat.go.jp/english/data/roudou/1543.html,True,True,Scheduled,82,Useful for anticipating JPY-sensitive labor releases and avoiding stale economic context.,
estat_whats_new,GBPJPY,2,e-Stat what's new,Portal Site of Official Statistics of Japan,release-monitor,html,https://www.e-stat.go.jp/en/whats-new,https://www.e-stat.go.jp/en,True,True,Daily,85,Useful release monitor for new and updated Japanese official statistics.,
estat_api_spec,GBPJPY,2,e-Stat API specification,Portal Site of Official Statistics of Japan,api,api,https://www.e-stat.go.jp/api/index.php/en/api-info/api-spec,https://www.e-stat.go.jp/en,True,False,Series-dependent,90,Structured Japanese macro data source once you add series-aware API adapters.,
mof_fx_intervention_monthly,GBPJPY,1,Japan Ministry of Finance FX intervention monthly release,Ministry of Finance Japan,intervention-risk,html,https://www.mof.go.jp/english/policy/international_policy/reference/feio/monthly/index.html,https://www.mof.go.jp/english/policy/international_policy/reference/feio/index.html,True,True,Monthly,95,Critical for GBPJPY because yen intervention risk can overwhelm otherwise clean rate-differential trades.,
cftc_cot_fx,GBPJPY,2,CFTC Commitments of Traders,CFTC,positioning,html,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,True,True,Weekly,100,Leveraged-fund and asset-manager positioning is useful for spotting crowded GBP or JPY directional trades.,
eia_wpsr,WTI,1,EIA Weekly Petroleum Status Report,US Energy Information Administration,inventory,html,https://www.eia.gov/petroleum/supply/weekly/,https://www.eia.gov/petroleum/supply/weekly/,True,True,Weekly,10,"The WPSR is the anchor public inventory release for WTI, especially crude, gasoline, distillates and refinery utilization.",
eia_today_in_energy_rss,WTI,1,EIA Today in Energy RSS,US Energy Information Administration,energy-analysis,rss,https://www.eia.gov/rss/todayinenergy.xml,https://www.eia.gov/TODAYINENERGY/about.php,True,True,Near-daily,15,"Timely official energy-market analysis is useful context for inventories, demand and infrastructure trends.",
eia_press_rss,WTI,1,EIA press releases RSS,US Energy Information Administration,policy-data,rss,https://www.eia.gov/rss/press_rss.xml,https://www.eia.gov,True,True,Ad hoc,18,"Captures official announcements, outlook changes and methodology notes that can reset market expectations.",
eia_gas_diesel_rss,WTI,1,EIA gasoline and diesel RSS,US Energy Information Administration,downstream,rss,https://www.eia.gov/petroleum/gasdiesel/includes/gas_diesel_rss.xml,https://www.eia.gov/petroleum/gasdiesel/,True,True,Weekly,20,Downstream pricing and crack-spread context help the swarm reason about refinery demand and product tightness.,
eia_steo,WTI,1,EIA Short-Term Energy Outlook,US Energy Information Administration,outlook,html,https://www.eia.gov/outlooks/steo/outlook.php,https://www.eia.gov/outlooks/steo/outlook.php,True,True,Monthly,25,"The STEO provides official demand, supply and price outlook revisions that shape the medium-term oil narrative.",
eia_api_docs,WTI,2,EIA API documentation,US Energy Information Administration,api,api,https://www.eia.gov/opendata/documentation.php,https://www.eia.gov/opendata/,True,False,Series-dependent,30,"Best source for structured inventory, production and refinery data once you add series-specific adapters.",
eia_open_data_browser,WTI,2,EIA open data browser,US Energy Information Administration,api,html,https://www.eia.gov/opendata/index.php/browser/browser/faqs.php,https://www.eia.gov/opendata/,True,False,Twice daily bulk refreshes,32,Helpful for discovering the exact series you want to bind into the oil context pipeline.,"Treat this as a discovery source, not a direct headline feed."
cftc_cot_oil,WTI,2,CFTC Commitments of Traders,CFTC,positioning,html,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,True,True,Weekly,40,Positioning helps detect crowded oil trades and whether inventory reactions may extend or mean revert.,
nhc_gtwo,WTI,2,NOAA National Hurricane Center tropical weather outlook RSS,NOAA National Hurricane Center,weather-risk,rss,https://www.nhc.noaa.gov/gtwo.xml,https://www.nhc.noaa.gov,True,True,As issued,50,"Storm threats can materially affect Gulf production, refining and shipping infrastructure.",
nhc_atlantic_index,WTI,2,NOAA NHC Atlantic outlook RSS,NOAA National Hurricane Center,weather-risk,rss,https://www.nhc.noaa.gov/index-at.xml,https://www.nhc.noaa.gov,True,True,As issued,55,Adds Atlantic storm bulletins and updates that often matter for oil more than broad macro headlines do.,
opec_momr,WTI,2,OPEC Monthly Oil Market Report,OPEC,outlook,html,https://www.opec.org/monthly-oil-market-report.html,https://www.opec.org/monthly-oil-market-report.html,True,False,Monthly,60,"OPEC demand, supply and balance revisions shape the global oil narrative and can move front-month crude.",Valuable but not ideal for the auto-fetch path because the site and downloadable artifacts are less scrape-friendly.
iea_omr,WTI,2,IEA Oil Market Report,International Energy Agency,outlook,html,https://www.iea.org/data-and-statistics/data-product/oil-market-report-omr,https://www.iea.org/data-and-statistics/data-product/oil-market-report-omr,True,False,Monthly,65,"A high-signal global oil balance source, especially for demand revisions and inventory interpretation.","Paid and delayed; include manually if you have access, otherwise use public release metadata only."
mining_oil_sands_rss,WTI,3,MINING.com oil sands RSS,MINING.com,industry-news,rss,https://mining.com/tag/oil-sands/feed/,https://www.mining.com,False,True,Ad hoc,80,Useful for Canada-heavy supply and infrastructure headlines that can bleed into North American crude narratives.,
fed_press_all,XAUUSD,1,Federal Reserve press releases RSS,Federal Reserve,central-bank,rss,https://www.federalreserve.gov/feeds/press_all.xml,https://www.federalreserve.gov/newsevents/pressreleases.htm,True,True,Ad hoc,10,"High-impact FOMC, emergency facilities and policy communications move real-rate expectations, the US dollar and gold.",
fed_speeches_testimony,XAUUSD,1,Federal Reserve speeches and testimony RSS,Federal Reserve,central-bank,rss,https://www.federalreserve.gov/feeds/speeches_and_testimony.xml,https://www.federalreserve.gov/newsevents/speeches.htm,True,True,Ad hoc,15,"Policy tone shifts often appear first in speeches, testimonies and prepared remarks.",
bls_cpi_rss,XAUUSD,1,BLS CPI RSS,US Bureau of Labor Statistics,inflation,rss,https://www.bls.gov/feed/cpi.rss,https://www.bls.gov/cpi/,True,True,Monthly plus updates,20,"US inflation surprises reprice Fed expectations and real yields, which are core gold drivers.",
bls_employment_situation,XAUUSD,1,BLS Employment Situation release page,US Bureau of Labor Statistics,labor,html,https://www.bls.gov/news.release/empsit.nr0.htm,https://www.bls.gov/news.release/empsit.nr0.htm,True,True,Monthly,25,"Payrolls and unemployment data directly affect rate-path pricing, USD direction and gold sentiment.",
bea_personal_income,XAUUSD,1,BEA Personal Income and PCE page,Bureau of Economic Analysis,inflation-growth,html,https://www.bea.gov/data/income-saving/personal-income,https://www.bea.gov/data/income-saving/personal-income,True,True,Monthly,30,PCE inflation and spending are core macro inputs for Fed pricing and therefore for gold.,
cme_fedwatch,XAUUSD,1,CME FedWatch,CME Group,rates-implied,html,https://www.cmegroup.com/markets/interest-rates/cme-fedwatch-tool.html?redirect=/fedwatch,https://www.cmegroup.com/fedwatch,True,False,Intraday,35,Exchange-implied probability shifts are often a cleaner signal than headlines alone.,JS-heavy page; best scraped via a dedicated adapter or manual summary.
