id,asset,tier,name,provider,category,kind,url,homepage,official,auto_fetch,cadence,priority,why,notes
eia_wpsr,WTI,1,EIA Weekly Petroleum Status Report,US Energy Information Administration,inventory,html,https://www.eia.gov/petroleum/supply/weekly/,https://www.eia.gov/petroleum/supply/weekly/,True,True,Weekly,10,"The WPSR is the anchor public inventory release for WTI, especially crude, gasoline, distillates and refinery utilization.",
eia_today_in_energy_rss,WTI,1,EIA Today in Energy RSS,US Energy Information Administration,energy-analysis,rss,https://www.eia.gov/rss/todayinenergy.xml,https://www.eia.gov/TODAYINENERGY/about.php,True,True,Near-daily,15,"Timely official energy-market analysis is useful context for inventories, demand and infrastructure trends.",
eia_press_rss,WTI,1,EIA press releases RSS,US Energy Information Administration,policy-data,rss,https://www.eia.gov/rss/press_rss.xml,https://www.eia.gov,True,True,Ad hoc,18,"Captures official announcements, outlook changes and methodology notes that can reset market expectations.",
eia_gas_diesel_rss,WTI,1,EIA gasoline and diesel RSS,US Energy Information Administration,downstream,rss,https://www.eia.gov/petroleum/gasdiesel/includes/gas_diesel_rss.xml,https://www.eia.gov/petroleum/gasdiesel/,True,True,Weekly,20,Downstream pricing and crack-spread context help the swarm reason about refinery demand and product tightness.,
eia_steo,WTI,1,EIA Short-Term Energy Outlook,US Energy Information Administration,outlook,html,https://www.eia.gov/outlooks/steo/outlook.php,https://www.eia.gov/outlooks/steo/outlook.php,True,True,Monthly,25,"The STEO provides official demand, supply and price outlook revisions that shape the medium-term oil narrative.",
eia_api_docs,WTI,2,EIA API documentation,US Energy Information Administration,api,api,https://www.eia.gov/opendata/documentation.php,https://www.eia.gov/opendata/,True,False,Series-dependent,30,"Best source for structured inventory, production and refinery data once you add series-specific adapters.",
eia_open_data_browser,WTI,2,EIA open data browser,US Energy Information Administration,api,html,https://www.eia.gov/opendata/index.php/browser/browser/faqs.php,https://www.eia.gov/opendata/,True,False,Twice daily bulk refreshes,32,Helpful for discovering the exact series you want to bind into the oil context pipeline.,"Treat this as a discovery source, not a direct headline feed."
cftc_cot_oil,WTI,2,CFTC Commitments of Traders,CFTC,positioning,html,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,True,True,Weekly,40,Positioning helps detect crowded oil trades and whether inventory reactions may extend or mean revert.,
nhc_gtwo,WTI,2,NOAA National Hurricane Center tropical weather outlook RSS,NOAA National Hurricane Center,weather-risk,rss,https://www.nhc.noaa.gov/gtwo.xml,https://www.nhc.noaa.gov,True,True,As issued,50,"Storm threats can materially affect Gulf production, refining and shipping infrastructure.",
nhc_atlantic_index,WTI,2,NOAA NHC Atlantic outlook RSS,NOAA National Hurricane Center,weather-risk,rss,https://www.nhc.noaa.gov/index-at.xml,https://www.nhc.noaa.gov,True,True,As issued,55,Adds Atlantic storm bulletins and updates that often matter for oil more than broad macro headlines do.,
opec_momr,WTI,2,OPEC Monthly Oil Market Report,OPEC,outlook,html,https://www.opec.org/monthly-oil-market-report.html,https://www.opec.org/monthly-oil-market-report.html,True,False,Monthly,60,"OPEC demand, supply and balance revisions shape the global oil narrative and can move front-month crude.",Valuable but not ideal for the auto-fetch path because the site and downloadable artifacts are less scrape-friendly.
iea_omr,WTI,2,IEA Oil Market Report,International Energy Agency,outlook,html,https://www.iea.org/data-and-statistics/data-product/oil-market-report-omr,https://www.iea.org/data-and-statistics/data-product/oil-market-report-omr,True,False,Monthly,65,"A high-signal global oil balance source, especially for demand revisions and inventory interpretation.","Paid and delayed; include manually if you have access, otherwise use public release metadata only."
mining_oil_sands_rss,WTI,3,MINING.com oil sands RSS,MINING.com,industry-news,rss,https://mining.com/tag/oil-sands/feed/,https://www.mining.com,False,True,Ad hoc,80,Useful for Canada-heavy supply and infrastructure headlines that can bleed into North American crude narratives.,
