id,asset,tier,name,provider,category,kind,url,homepage,official,auto_fetch,cadence,priority,why,notes
boe_news_rss,GBPJPY,1,Bank of England news RSS,Bank of England,central-bank,rss,https://www.bankofengland.co.uk/rss/news,https://www.bankofengland.co.uk/news,True,True,Ad hoc,10,BoE announcements and policy-related releases are immediate drivers of sterling repricing.,
boe_speeches_rss,GBPJPY,1,Bank of England speeches RSS,Bank of England,central-bank,rss,https://www.bankofengland.co.uk/rss/speeches,https://www.bankofengland.co.uk/speeches,True,True,Ad hoc,15,MPC tone and guidance changes often show up in speeches before the market fully reprices them.,
boe_statistics_rss,GBPJPY,1,Bank of England statistics RSS,Bank of England,statistics,rss,https://www.bankofengland.co.uk/rss/statistics,https://www.bankofengland.co.uk/statistics,True,True,Scheduled and ad hoc,20,Helpful for official releases that matter to rates and liquidity conditions in sterling markets.,
boe_bank_rate,GBPJPY,1,Bank Rate latest decision page,Bank of England,policy-rate,html,https://www.bankofengland.co.uk/monetary-policy/the-interest-rate-bank-rate.%C2%A0,https://www.bankofengland.co.uk/monetary-policy/the-interest-rate-bank-rate.%C2%A0,True,True,Eight times a year plus updates,25,Current Bank Rate and the policy narrative are primary inputs for GBPJPY rate-differential thinking.,
boe_upcoming_mpc_dates,GBPJPY,1,Bank of England MPC dates,Bank of England,calendar,html,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates,https://www.bankofengland.co.uk/monetary-policy/upcoming-mpc-dates,True,True,Static with schedule changes,30,Knowing when the next decision is due helps the swarm weight event risk and narrative urgency.,
boe_database,GBPJPY,2,Bank of England database,Bank of England,api-data,html,https://www.bankofengland.co.uk/boeapps/database/,https://www.bankofengland.co.uk/boeapps/database/,True,False,Series-dependent,35,Useful for series-level adapters such as official rates or market expectations.,Discovery source; best used with explicit series selection.
ons_cpi_bulletin,GBPJPY,1,ONS consumer price inflation bulletin,Office for National Statistics,inflation,html,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/consumerpriceinflation/latest,True,True,Monthly,40,UK inflation surprises materially affect BoE pricing and sterling.,
ons_cpi_dataset,GBPJPY,2,ONS CPI dataset page,Office for National Statistics,inflation-data,html,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceindices,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/consumerpriceindices,True,True,Monthly,45,Useful when you want the raw CPI tables behind the bulletin rather than the narrative summary.,
ons_gdp_monthly,GBPJPY,1,ONS GDP monthly estimate,Office for National Statistics,growth,html,https://www.ons.gov.uk/economy/grossdomesticproductgdp/bulletins/gdpmonthlyestimateuk/latest,https://www.ons.gov.uk/economy/grossdomesticproductgdp/bulletins/gdpmonthlyestimateuk/latest,True,True,Monthly,50,Growth data matters for the BoE path and for the relative attractiveness of sterling versus yen.,
ons_labour_market,GBPJPY,1,ONS labour market overview,Office for National Statistics,labor,html,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/february2026,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/uklabourmarket/february2026,True,True,Monthly,55,Labor-market tightness is a core BoE input and therefore a GBPJPY driver.,
ons_api_hub,GBPJPY,2,ONS developer hub,Office for National Statistics,api,api,https://developer.ons.gov.uk/,https://developer.ons.gov.uk/,True,False,Series-dependent,60,Best source for adding structured UK macro time series once you promote the bridge beyond headline scraping.,
boj_whatsnew_rss_en,GBPJPY,1,Bank of Japan English what's new RSS,Bank of Japan,central-bank,rss,https://www.boj.or.jp/en/rss/whatsnew.xml,https://www.boj.or.jp/en/,True,True,Ad hoc,65,English-language BoJ updates are the easiest official feed for policy-sensitive yen developments.,
boj_whatsnew_rss_ja,GBPJPY,1,Bank of Japan Japanese what's new RSS,Bank of Japan,central-bank,rss,https://www.boj.or.jp/rss/whatsnew.xml,https://www.boj.or.jp/,True,True,Ad hoc,68,Japanese feed can surface updates with less translation lag than the English site.,
boj_monetary_policy_releases,GBPJPY,1,BoJ monetary policy releases 2026 page,Bank of Japan,policy-rate,html,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2026/index.htm,https://www.boj.or.jp/en/mopo/mpmdeci/mpr_2026/index.htm,True,True,Per meeting,70,Direct BoJ policy statements are indispensable for yen direction and intervention risk framing.,
boj_fx_daily_rates,GBPJPY,2,BoJ daily foreign exchange rates,Bank of Japan,fx-reference,html,https://www.boj.or.jp/en/statistics/market/forex/fxdaily/index.htm,https://www.boj.or.jp/en/statistics/market/forex/fxdaily/index.htm,True,True,Daily,75,Provides official reference rates and a useful sanity check on recent yen moves.,
statbureau_cpi_schedule,GBPJPY,2,Japan CPI release schedule,Statistics Bureau of Japan,calendar,html,https://www.stat.go.jp/english/data/cpi/1582.htm,https://www.stat.go.jp/english/data/cpi/1582.htm,True,True,Scheduled,80,Event calendar context helps the swarm weight imminent JPY volatility around CPI.,
statbureau_labour_schedule,GBPJPY,2,Japan labour force release schedule,Statistics Bureau of Japan,calendar,html,https://www.stat.go.jp/english/data/roudou/1543.html,https://www.stat.go.jp/english/data/roudou/1543.html,True,True,Scheduled,82,Useful for anticipating JPY-sensitive labor releases and avoiding stale economic context.,
estat_whats_new,GBPJPY,2,e-Stat what's new,Portal Site of Official Statistics of Japan,release-monitor,html,https://www.e-stat.go.jp/en/whats-new,https://www.e-stat.go.jp/en,True,True,Daily,85,Useful release monitor for new and updated Japanese official statistics.,
estat_api_spec,GBPJPY,2,e-Stat API specification,Portal Site of Official Statistics of Japan,api,api,https://www.e-stat.go.jp/api/index.php/en/api-info/api-spec,https://www.e-stat.go.jp/en,True,False,Series-dependent,90,Structured Japanese macro data source once you add series-aware API adapters.,
mof_fx_intervention_monthly,GBPJPY,1,Japan Ministry of Finance FX intervention monthly release,Ministry of Finance Japan,intervention-risk,html,https://www.mof.go.jp/english/policy/international_policy/reference/feio/monthly/index.html,https://www.mof.go.jp/english/policy/international_policy/reference/feio/index.html,True,True,Monthly,95,Critical for GBPJPY because yen intervention risk can overwhelm otherwise clean rate-differential trades.,
cftc_cot_fx,GBPJPY,2,CFTC Commitments of Traders,CFTC,positioning,html,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,True,True,Weekly,100,Leveraged-fund and asset-manager positioning is useful for spotting crowded GBP or JPY directional trades.,
