id,asset,tier,name,provider,category,kind,url,homepage,official,auto_fetch,cadence,priority,why,notes
fed_press_all,XAUUSD,1,Federal Reserve press releases RSS,Federal Reserve,central-bank,rss,https://www.federalreserve.gov/feeds/press_all.xml,https://www.federalreserve.gov/newsevents/pressreleases.htm,True,True,Ad hoc,10,"High-impact FOMC, emergency facilities and policy communications move real-rate expectations, the US dollar and gold.",
fed_speeches_testimony,XAUUSD,1,Federal Reserve speeches and testimony RSS,Federal Reserve,central-bank,rss,https://www.federalreserve.gov/feeds/speeches_and_testimony.xml,https://www.federalreserve.gov/newsevents/speeches.htm,True,True,Ad hoc,15,"Policy tone shifts often appear first in speeches, testimonies and prepared remarks.",
bls_cpi_rss,XAUUSD,1,BLS CPI RSS,US Bureau of Labor Statistics,inflation,rss,https://www.bls.gov/feed/cpi.rss,https://www.bls.gov/cpi/,True,True,Monthly plus updates,20,"US inflation surprises reprice Fed expectations and real yields, which are core gold drivers.",
bls_employment_situation,XAUUSD,1,BLS Employment Situation release page,US Bureau of Labor Statistics,labor,html,https://www.bls.gov/news.release/empsit.nr0.htm,https://www.bls.gov/news.release/empsit.nr0.htm,True,True,Monthly,25,"Payrolls and unemployment data directly affect rate-path pricing, USD direction and gold sentiment.",
bea_personal_income,XAUUSD,1,BEA Personal Income and PCE page,Bureau of Economic Analysis,inflation-growth,html,https://www.bea.gov/data/income-saving/personal-income,https://www.bea.gov/data/income-saving/personal-income,True,True,Monthly,30,PCE inflation and spending are core macro inputs for Fed pricing and therefore for gold.,
cme_fedwatch,XAUUSD,1,CME FedWatch,CME Group,rates-implied,html,https://www.cmegroup.com/markets/interest-rates/cme-fedwatch-tool.html?redirect=/fedwatch,https://www.cmegroup.com/fedwatch,True,False,Intraday,35,Exchange-implied probability shifts are often a cleaner signal than headlines alone.,JS-heavy page; best scraped via a dedicated adapter or manual summary.
cftc_cot_general,XAUUSD,2,CFTC Commitments of Traders,CFTC,positioning,html,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,https://www.cftc.gov/MarketReports/CommitmentsofTraders/index.htm,True,True,Weekly,40,Managed-money and hedger positioning helps the swarm detect crowded gold trades and squeeze risk.,
wgc_gold_etf_flows,XAUUSD,2,World Gold Council ETF holdings and flows,World Gold Council,flow,html,https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows,https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows,False,True,"Daily, weekly and monthly",45,ETF flow data is one of the cleanest publicly available demand measures for gold.,
wgc_gold_trading_volumes,XAUUSD,2,World Gold Council trading volumes,World Gold Council,liquidity,html,https://www.gold.org/goldhub/data/gold-trading-volumes,https://www.gold.org/goldhub/data/gold-trading-volumes,False,True,Monthly with intra-month refreshes,50,Liquidity and turnover context help distinguish genuine regime shifts from thin-market noise.,
wgc_gold_reserves,XAUUSD,2,World Gold Council central-bank reserves,World Gold Council,official-sector,html,https://www.gold.org/goldhub/data/gold-reserves-by-country,https://www.gold.org/goldhub/data/gold-reserves-by-country,False,True,Monthly,55,Official-sector accumulation supports medium-term gold demand narratives and reserve-diversification themes.,
lbma_daily_trade_reporting,XAUUSD,2,LBMA daily trade reporting data,LBMA,bullion-market,html,https://www.lbma.org.uk/prices-and-data/lbma-daily-trade-reporting-data,https://www.lbma.org.uk/prices-and-data/lbma-daily-trade-reporting-data,False,True,Daily and weekly,60,London bullion market turnover helps detect whether a move is backed by deeper spot-market participation.,
boe_gold_statistics,XAUUSD,2,Bank of England gold statistics,Bank of England,custody,html,https://www.bankofengland.co.uk/statistics/gold,https://www.bankofengland.co.uk/statistics/gold,True,True,Monthly,65,BoE custody holdings give another official-sector lens on bullion stock changes and vault demand.,
mining_gold_rss,XAUUSD,3,MINING.com gold RSS,MINING.com,industry-news,rss,https://mining.com/tag/gold/feed/,https://www.mining.com,False,True,Ad hoc,80,"Useful for supply-side headlines, miners, M&A, disruptions and gold-market specific narrative color.",
fred_api_docs,XAUUSD,3,FRED API documentation,Federal Reserve Bank of St. Louis,api,api,https://fred.stlouisfed.org/docs/api/fred/series_observations.html,https://fred.stlouisfed.org/docs/api/,True,False,Series-dependent,90,"Useful for adding structured real-rate, DXY, breakeven or financial-condition series to the context builder.",Best used with preselected series IDs rather than raw endpoint discovery.
